,DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
0,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Aluminum,,Extractable,254.7,ug/L,Actual,,,ug/L,,Preliminary,,110688.0,ENV/CANADA,,,,,ECCCLabs,
1,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Apparent color,,,133.0,TCU,Actual,,,TCU,,Preliminary,,2011.0,ENV/CANADA,,,,,ECCCLabs,
2,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Calcium,,Dissolved,1.1,mg/L,Actual,,,mg/L,,Preliminary,,20110.0,ENV/CANADA,,,,,ECCCLabs,
3,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Chloride,,Dissolved,6.13,mg/L,Actual,,,mg/L,,Preliminary,,17209.0,ENV/CANADA,,,,,ECCCLabs,
4,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Gran acid neutralizing capacity,,,-0.24,mg/L,Actual,,,mg/L,,Preliminary,,10110.0,ENV/CANADA,,,,,ECCCLabs,
5,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Iron,,Extractable,0.261,mg/L,Actual,,,mg/L,,Preliminary,,102082.0,ENV/CANADA,,,,,ECCCLabs,
6,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Magnesium,,Dissolved,0.6,mg/L,Actual,,,mg/L,,Preliminary,,12107.0,ENV/CANADA,,,,,ECCCLabs,
7,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Manganese,,Extractable,18.8,ug/L,Actual,,,ug/L,,Preliminary,,110699.0,ENV/CANADA,,,,,ECCCLabs,
8,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Nitrate,as N,"Filtered, lab",0.03,mg/L,Actual,,,mg/L,,Preliminary,,7315.0,ENV/CANADA,,,,,ECCCLabs,
9,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Organic carbon,,Total,15.6,mg/L,Actual,,,mg/L,,Preliminary,,3019.0,ENV/CANADA,,,,,ECCCLabs,
10,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,pH,,,4.75,,Actual,,,,,Preliminary,,10301.0,ENV/CANADA,,,,,ECCCLabs,
11,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Potassium,,Dissolved,0.26,mg/L,Actual,,,mg/L,,Preliminary,,19103.0,ENV/CANADA,,,,,ECCCLabs,
12,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Sodium,,Dissolved,4.2,mg/L,Actual,,,mg/L,,Preliminary,,11103.0,ENV/CANADA,,,,,ECCCLabs,
13,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Specific conductance,,,39.3,uS/cm,Actual,,,uS/cm,,Preliminary,,2041.0,ENV/CANADA,,,,,ECCCLabs,
14,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Sulfate,,Dissolved,2.14,mg/L,Actual,,,mg/L,,Preliminary,,16309.0,ENV/CANADA,,,,,ECCCLabs,
15,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,"Total Nitrogen, mixed forms",as N,Unfiltered,0.14,mg/L,Actual,,,mg/L,,Preliminary,,7601.0,ENV/CANADA,,,,,ECCCLabs,
16,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Aluminum,,Extractable,86.3,ug/L,Actual,,,ug/L,,Preliminary,,110688.0,ENV/CANADA,,,,,ECCCLabs,
17,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Apparent color,,,34.0,TCU,Actual,,,TCU,,Preliminary,,2011.0,ENV/CANADA,,,,,ECCCLabs,
18,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Calcium,,Dissolved,0.7,mg/L,Actual,,,mg/L,,Preliminary,,20110.0,ENV/CANADA,,,,,ECCCLabs,
19,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Chloride,,Dissolved,4.73,mg/L,Actual,,,mg/L,,Preliminary,,17209.0,ENV/CANADA,,,,,ECCCLabs,
20,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Gran acid neutralizing capacity,,,0.11,mg/L,Actual,,,mg/L,,Preliminary,,10110.0,ENV/CANADA,,,,,ECCCLabs,
21,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Iron,,Extractable,0.186,mg/L,Actual,,,mg/L,,Preliminary,,102082.0,ENV/CANADA,,,,,ECCCLabs,
22,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Magnesium,,Dissolved,0.52,mg/L,Actual,,,mg/L,,Preliminary,,12107.0,ENV/CANADA,,,,,ECCCLabs,
23,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Manganese,,Extractable,42.8,ug/L,Actual,,,ug/L,,Preliminary,,110699.0,ENV/CANADA,,,,,ECCCLabs,
24,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Nitrate,as N,"Filtered, lab",0.02,mg/L,Actual,,,mg/L,,Preliminary,,7315.0,ENV/CANADA,,,,,ECCCLabs,
25,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Organic carbon,,Total,5.2,mg/L,Actual,,,mg/L,,Preliminary,,3019.0,ENV/CANADA,,,,,ECCCLabs,
26,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,pH,,,5.15,,Actual,,,,,Preliminary,,10301.0,ENV/CANADA,,,,,ECCCLabs,
27,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Potassium,,Dissolved,0.27,mg/L,Actual,,,mg/L,,Preliminary,,19103.0,ENV/CANADA,,,,,ECCCLabs,
28,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Sodium,,Dissolved,3.14,mg/L,Actual,,,mg/L,,Preliminary,,11103.0,ENV/CANADA,,,,,ECCCLabs,
29,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Specific conductance,,,29.3,uS/cm,Actual,,,uS/cm,,Preliminary,,2041.0,ENV/CANADA,,,,,ECCCLabs,
30,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Sulfate,,Dissolved,2.51,mg/L,Actual,,,mg/L,,Preliminary,,16309.0,ENV/CANADA,,,,,ECCCLabs,
31,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0110,LOWER PINE MARTEN BOG AT OUTFLOW,44.4236,-65.2133,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,"Total Nitrogen, mixed forms",as N,Unfiltered,0.07,mg/L,Actual,,,mg/L,,Preliminary,,7601.0,ENV/CANADA,,,,,ECCCLabs,
32,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01EE0014,MOOSE PIT BROOK AT OUTFLOW TO TUPPER LAKE,44.4619,-65.0483,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Aluminum,,Extractable,184.5,ug/L,Actual,,,ug/L,,Preliminary,,110688.0,ENV/CANADA,,,,,ECCCLabs,
33,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01EE0014,MOOSE PIT BROOK AT OUTFLOW TO TUPPER LAKE,44.4619,-65.0483,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Apparent color,,,119.0,TCU,Actual,,,TCU,,Preliminary,,2011.0,ENV/CANADA,,,,,ECCCLabs,
34,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01EE0014,MOOSE PIT BROOK AT OUTFLOW TO TUPPER LAKE,44.4619,-65.0483,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Calcium,,Dissolved,0.78,mg/L,Actual,,,mg/L,,Preliminary,,20110.0,ENV/CANADA,,,,,ECCCLabs,
35,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01EE0014,MOOSE PIT BROOK AT OUTFLOW TO TUPPER LAKE,44.4619,-65.0483,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Chloride,,Dissolved,3.7,mg/L,Actual,,,mg/L,,Preliminary,,17209.0,ENV/CANADA,,,,,ECCCLabs,
36,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01EE0014,MOOSE PIT BROOK AT OUTFLOW TO TUPPER LAKE,44.4619,-65.0483,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Gran acid neutralizing capacity,,,-0.81,mg/L,Actual,,,mg/L,,Preliminary,,10110.0,ENV/CANADA,,,,,ECCCLabs,
37,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01EE0014,MOOSE PIT BROOK AT OUTFLOW TO TUPPER LAKE,44.4619,-65.0483,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Iron,,Extractable,0.234,mg/L,Actual,,,mg/L,,Preliminary,,102082.0,ENV/CANADA,,,,,ECCCLabs,
38,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01EE0014,MOOSE PIT BROOK AT OUTFLOW TO TUPPER LAKE,44.4619,-65.0483,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Magnesium,,Dissolved,0.5,mg/L,Actual,,,mg/L,,Preliminary,,12107.0,ENV/CANADA,,,,,ECCCLabs,
39,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01EE0014,MOOSE PIT BROOK AT OUTFLOW TO TUPPER LAKE,44.4619,-65.0483,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Manganese,,Extractable,15.6,ug/L,Actual,,,ug/L,,Preliminary,,110699.0,ENV/CANADA,,,,,ECCCLabs,
40,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01EE0014,MOOSE PIT BROOK AT OUTFLOW TO TUPPER LAKE,44.4619,-65.0483,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Organic carbon,,Total,13.7,mg/L,Actual,,,mg/L,,Preliminary,,3019.0,ENV/CANADA,,,,,ECCCLabs,
41,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01EE0014,MOOSE PIT BROOK AT OUTFLOW TO TUPPER LAKE,44.4619,-65.0483,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,pH,,,4.61,,Actual,,,,,Preliminary,,10301.0,ENV/CANADA,,,,,ECCCLabs,
42,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01EE0014,MOOSE PIT BROOK AT OUTFLOW TO TUPPER LAKE,44.4619,-65.0483,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Potassium,,Dissolved,0.22,mg/L,Actual,,,mg/L,,Preliminary,,19103.0,ENV/CANADA,,,,,ECCCLabs,
43,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01EE0014,MOOSE PIT BROOK AT OUTFLOW TO TUPPER LAKE,44.4619,-65.0483,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Sodium,,Dissolved,2.79,mg/L,Actual,,,mg/L,,Preliminary,,11103.0,ENV/CANADA,,,,,ECCCLabs,
44,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01EE0014,MOOSE PIT BROOK AT OUTFLOW TO TUPPER LAKE,44.4619,-65.0483,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Specific conductance,,,31.6,uS/cm,Actual,,,uS/cm,,Preliminary,,2041.0,ENV/CANADA,,,,,ECCCLabs,
45,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01EE0014,MOOSE PIT BROOK AT OUTFLOW TO TUPPER LAKE,44.4619,-65.0483,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,Sulfate,,Dissolved,2.4,mg/L,Actual,,,mg/L,,Preliminary,,16309.0,ENV/CANADA,,,,,ECCCLabs,
46,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01EE0014,MOOSE PIT BROOK AT OUTFLOW TO TUPPER LAKE,44.4619,-65.0483,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:00:00,,,,,,"Total Nitrogen, mixed forms",as N,Unfiltered,0.1,mg/L,Actual,,,mg/L,,Preliminary,,7601.0,ENV/CANADA,,,,,ECCCLabs,
47,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0111,PINE MARTEN STREAM AT FOREST ROAD ABOVE CULVERT,44.4264,-65.2128,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:01:00,,,,,,Aluminum,,Extractable,101.4,ug/L,Actual,,,ug/L,,Preliminary,,110688.0,ENV/CANADA,,,,,ECCCLabs,
48,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0111,PINE MARTEN STREAM AT FOREST ROAD ABOVE CULVERT,44.4264,-65.2128,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:01:00,,,,,,Apparent color,,,31.0,TCU,Actual,,,TCU,,Preliminary,,2011.0,ENV/CANADA,,,,,ECCCLabs,
49,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0111,PINE MARTEN STREAM AT FOREST ROAD ABOVE CULVERT,44.4264,-65.2128,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:01:00,,,,,,Calcium,,Dissolved,0.55,mg/L,Actual,,,mg/L,,Preliminary,,20110.0,ENV/CANADA,,,,,ECCCLabs,
50,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0111,PINE MARTEN STREAM AT FOREST ROAD ABOVE CULVERT,44.4264,-65.2128,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:01:00,,,,,,Chloride,,Dissolved,4.57,mg/L,Actual,,,mg/L,,Preliminary,,17209.0,ENV/CANADA,,,,,ECCCLabs,
51,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0111,PINE MARTEN STREAM AT FOREST ROAD ABOVE CULVERT,44.4264,-65.2128,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:01:00,,,,,,Gran acid neutralizing capacity,,,0.03,mg/L,Actual,,,mg/L,,Preliminary,,10110.0,ENV/CANADA,,,,,ECCCLabs,
52,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0111,PINE MARTEN STREAM AT FOREST ROAD ABOVE CULVERT,44.4264,-65.2128,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:01:00,,,,,,Iron,,Extractable,0.238,mg/L,Actual,,,mg/L,,Preliminary,,102082.0,ENV/CANADA,,,,,ECCCLabs,
53,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0111,PINE MARTEN STREAM AT FOREST ROAD ABOVE CULVERT,44.4264,-65.2128,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:01:00,,,,,,Magnesium,,Dissolved,0.45,mg/L,Actual,,,mg/L,,Preliminary,,12107.0,ENV/CANADA,,,,,ECCCLabs,
54,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0111,PINE MARTEN STREAM AT FOREST ROAD ABOVE CULVERT,44.4264,-65.2128,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:01:00,,,,,,Manganese,,Extractable,102.0,ug/L,Actual,,,ug/L,,Preliminary,,110699.0,ENV/CANADA,,,,,ECCCLabs,
55,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0111,PINE MARTEN STREAM AT FOREST ROAD ABOVE CULVERT,44.4264,-65.2128,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:01:00,,,,,,Nitrate,as N,"Filtered, lab",0.05,mg/L,Actual,,,mg/L,,Preliminary,,7315.0,ENV/CANADA,,,,,ECCCLabs,
56,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0111,PINE MARTEN STREAM AT FOREST ROAD ABOVE CULVERT,44.4264,-65.2128,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:01:00,,,,,,Organic carbon,,Total,5.3,mg/L,Actual,,,mg/L,,Preliminary,,3019.0,ENV/CANADA,,,,,ECCCLabs,
57,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0111,PINE MARTEN STREAM AT FOREST ROAD ABOVE CULVERT,44.4264,-65.2128,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:01:00,,,,,,pH,,,5.11,,Actual,,,,,Preliminary,,10301.0,ENV/CANADA,,,,,ECCCLabs,
58,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0111,PINE MARTEN STREAM AT FOREST ROAD ABOVE CULVERT,44.4264,-65.2128,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:01:00,,,,,,Potassium,,Dissolved,0.45,mg/L,Actual,,,mg/L,,Preliminary,,19103.0,ENV/CANADA,,,,,ECCCLabs,
59,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0111,PINE MARTEN STREAM AT FOREST ROAD ABOVE CULVERT,44.4264,-65.2128,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:01:00,,,,,,Sodium,,Dissolved,2.79,mg/L,Actual,,,mg/L,,Preliminary,,11103.0,ENV/CANADA,,,,,ECCCLabs,
60,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0111,PINE MARTEN STREAM AT FOREST ROAD ABOVE CULVERT,44.4264,-65.2128,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:01:00,,,,,,Specific conductance,,,27.0,uS/cm,Actual,,,uS/cm,,Preliminary,,2041.0,ENV/CANADA,,,,,ECCCLabs,
61,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0111,PINE MARTEN STREAM AT FOREST ROAD ABOVE CULVERT,44.4264,-65.2128,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:01:00,,,,,,Sulfate,,Dissolved,1.95,mg/L,Actual,,,mg/L,,Preliminary,,16309.0,ENV/CANADA,,,,,ECCCLabs,
62,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0111,PINE MARTEN STREAM AT FOREST ROAD ABOVE CULVERT,44.4264,-65.2128,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-03,12:01:00,,,,,,"Total Nitrogen, mixed forms",as N,Unfiltered,0.1,mg/L,Actual,,,mg/L,,Preliminary,,7601.0,ENV/CANADA,,,,,ECCCLabs,
63,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-18,12:00:00,,,,,,Aluminum,,Extractable,254.0,ug/L,Actual,,,ug/L,,Preliminary,,110688.0,ENV/CANADA,,,,,ECCCLabs,
64,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-18,12:00:00,,,,,,Apparent color,,,112.0,TCU,Actual,,,TCU,,Preliminary,,2011.0,ENV/CANADA,,,,,ECCCLabs,
65,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-18,12:00:00,,,,,,Calcium,,Dissolved,1.01,mg/L,Actual,,,mg/L,,Preliminary,,20110.0,ENV/CANADA,,,,,ECCCLabs,
66,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-18,12:00:00,,,,,,Chloride,,Dissolved,5.84,mg/L,Actual,,,mg/L,,Preliminary,,17209.0,ENV/CANADA,,,,,ECCCLabs,
67,Maritime Coastal Basin Long-term Water Quality Monitoring Data,NS01ED0005,MERSEY RIVER BELOW MILL FALLS SOUTH-WEST OF MAITLAND BRIDGE,44.4367,-65.2228,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2000-01-18,12:00:00,,,,,,Chromium,,Extractable,7.28,ug/L,Actual,,,ug/L,,Preliminary,,110695.0,ENV/CANADA,,,,,ECCCLabs,
