Area Type,Area Name,Date,Year,Month,Seasonally Adjusted ,Not Seasonally Adjusted,,
National,U.S.,01/01/2011,2011,January,9.1,9.8,,
National,U.S.,02/01/2011,2011,February,9.0,9.5,,
National,U.S.,03/01/2011,2011,March,9.0,9.2,,
National,U.S.,04/01/2011,2011,April,9.1,8.7,,
National,U.S.,05/01/2011,2011,May,9.0,8.7,,
National,U.S.,06/01/2011,2011,June,9.1,9.3,,
National,U.S.,07/01/2011,2011,July,9.0,9.3,,
National,U.S.,08/01/2011,2011,August,9.0,9.1,,
National,U.S.,09/01/2011,2011,September,9.0,8.8,,
National,U.S.,10/01/2011,2011,October,8.8,8.5,,
National,U.S.,11/01/2011,2011,November,8.6,8.2,,
National,U.S.,12/01/2011,2011,December,8.5,8.3,,
National,U.S.,01/01/2012,2012,January,8.3,8.8,,
National,U.S.,02/01/2012,2012,February,8.3,8.7,,
National,U.S.,03/01/2012,2012,March,8.2,8.4,,
National,U.S.,04/01/2012,2012,April,8.2,7.7,,
National,U.S.,05/01/2012,2012,May,8.2,7.9,,
National,U.S.,06/01/2012,2012,June,8.2,8.4,,
National,U.S.,07/01/2012,2012,July,8.2,8.6,,
National,U.S.,08/01/2012,2012,August,8.1,8.2,,
National,U.S.,09/01/2012,2012,September,7.8,7.6,,
National,U.S.,10/01/2012,2012,October,7.8,7.5,,
National,U.S.,11/01/2012,2012,November,7.7,7.4,,
National,U.S.,12/01/2012,2012,December,7.9,7.6,,
National,U.S.,01/01/2013,2013,January,8.0,8.5,,
National,U.S.,02/01/2013,2013,February,7.7,8.1,,
National,U.S.,03/01/2013,2013,March,7.5,7.6,,
National,U.S.,04/01/2013,2013,April,7.6,7.1,,
National,U.S.,05/01/2013,2013,May,7.5,7.3,,
National,U.S.,06/01/2013,2013,June,7.5,7.8,,
National,U.S.,07/01/2013,2013,July,7.3,7.7,,
National,U.S.,08/01/2013,2013,August,7.2,7.3,,
National,U.S.,09/01/2013,2013,September,7.2,7.0,,
National,U.S.,10/01/2013,2013,October,7.2,7.0,,
National,U.S.,11/01/2013,2013,November,6.9,6.6,,
National,U.S.,12/01/2013,2013,December,6.7,6.5,,
National,U.S.,01/01/2014,2014,January,6.6,7.0,,
National,U.S.,02/01/2014,2014,February,6.7,7.0,,
National,U.S.,03/01/2014,2014,March,6.7,6.8,,
National,U.S.,04/01/2014,2014,April,6.2,5.9,,
National,U.S.,05/01/2014,2014,May,6.3,6.1,,
National,U.S.,06/01/2014,2014,June,6.1,6.3,,
National,U.S.,07/01/2014,2014,July,6.2,6.5,,
National,U.S.,08/01/2014,2014,August,6.1,6.3,,
National,U.S.,09/01/2014,2014,September,5.9,5.7,,
National,U.S.,10/01/2014,2014,October,5.7,5.5,,
National,U.S.,11/01/2014,2014,November,5.8,5.5,,
National,U.S.,12/01/2014,2014,December,5.6,5.4,,
National,U.S.,01/01/2015,2015,January,5.7,6.1,,
National,U.S.,02/01/2015,2015,February,5.5,5.8,,
National,U.S.,03/01/2015,2015,March,5.4,5.6,,
National,U.S.,04/01/2015,2015,April,5.4,5.1,,
National,U.S.,05/01/2015,2015,May,5.6,5.3,,
National,U.S.,06/01/2015,2015,June,5.3,5.5,,
National,U.S.,07/01/2015,2015,July,5.2,5.6,,
National,U.S.,08/01/2015,2015,August,5.1,5.2,,
National,U.S.,09/01/2015,2015,September,5.0,4.9,,
National,U.S.,10/01/2015,2015,October,5.0,4.8,,
National,U.S.,11/01/2015,2015,November,5.1,4.8,,
National,U.S.,12/01/2015,2015,December,5.0,4.8,,
National,U.S.,01/01/2016,2016,January,4.8,5.3,,
National,U.S.,02/01/2016,2016,February,4.9,5.2,,
National,U.S.,03/01/2016,2016,March,5.0,5.1,,
National,U.S.,04/01/2016,2016,April,5.1,4.7,,
National,U.S.,05/01/2016,2016,May,4.8,4.5,,
National,U.S.,06/01/2016,2016,June,4.9,5.1,,
National,U.S.,07/01/2016,2016,July,4.8,5.1,,
National,U.S.,08/01/2016,2016,August,4.9,5.0,,
National,U.S.,09/01/2016,2016,September,5.0,4.8,,
National,U.S.,10/01/2016,2016,October,4.9,4.7,,
National,U.S.,11/01/2016,2016,November,4.7,4.4,,
National,U.S.,12/01/2016,2016,December,4.7,4.5,,
National,U.S.,01/01/2017,2017,January,4.7,5.1,,
National,U.S.,02/01/2017,2017,February,4.6,4.9,,
National,U.S.,03/01/2017,2017,March,4.4,4.6,,
National,U.S.,04/01/2017,2017,April,4.4,4.1,,
National,U.S.,05/01/2017,2017,May,4.4,4.1,,
National,U.S.,06/01/2017,2017,June,4.3,4.5,,
National,U.S.,07/01/2017,2017,July,4.3,4.6,,
National,U.S.,08/01/2017,2017,August,4.4,4.5,,
National,U.S.,09/01/2017,2017,September,4.3,4.1,,
National,U.S.,10/01/2017,2017,October,4.2,3.9,,
National,U.S.,11/01/2017,2017,November,4.2,3.9,,
National,U.S.,12/01/2017,2017,December,4.1,3.9,,
National,U.S.,01/01/2018,2018,January,4.0,4.5,,
National,U.S.,02/01/2018,2018,February,4.1,4.4,,
National,U.S.,03/01/2018,2018,March,4.0,4.1,,
National,U.S.,04/01/2018,2018,April,4.0,3.7,,
National,U.S.,05/01/2018,2018,May,3.8,3.6,,
National,U.S.,06/01/2018,2018,June,4.0,4.2,,
National,U.S.,07/01/2018,2018,July,3.8,4.1,,
National,U.S.,08/01/2018,2018,August,3.8,3.9,,
National,U.S.,09/01/2018,2018,September,3.7,3.6,,
National,U.S.,10/01/2018,2018,October,3.8,3.5,,
National,U.S.,11/01/2018,2018,November,3.8,3.5,,
National,U.S.,12/01/2018,2018,December,3.9,3.7,,
National,U.S.,01/01/2019,2019,January,4.0,4.4,,
National,U.S.,02/01/2019,2019,February,3.8,4.1,,
National,U.S.,03/01/2019,2019,March,3.8,3.9,,
National,U.S.,04/01/2019,2019,April,3.7,3.3,,
National,U.S.,05/01/2019,2019,May,3.6,3.4,,
National,U.S.,06/01/2019,2019,June,3.6,3.8,,
National,U.S.,07/01/2019,2019,July,3.7,4.0,,
National,U.S.,08/01/2019,2019,August,3.6,3.8,,
National,U.S.,09/01/2019,2019,September,3.5,3.3,,
National,U.S.,10/01/2019,2019,October,3.6,3.3,,
National,U.S.,11/01/2019,2019,November,3.6,3.3,,
National,U.S.,12/01/2019,2019,December,3.6,3.4,,
National,U.S.,01/01/2020,2020,January,3.6,4.0,,
National,U.S.,02/01/2020,2020,February,3.5,3.8,,
National,U.S.,03/01/2020,2020,March,4.4,4.5,,
National,U.S.,04/01/2020,2020,April,14.8,14.4,,
National,U.S.,05/01/2020,2020,May,13.2,13.0,,
National,U.S.,06/01/2020,2020,June,11.0,11.2,,
National,U.S.,07/01/2020,2020,July,10.2,10.5,,
National,U.S.,08/01/2020,2020,August,8.4,8.5,,
National,U.S.,09/01/2020,2020,September,7.8,7.7,,
National,U.S.,10/01/2020,2020,October,6.9,6.6,,
National,U.S.,11/01/2020,2020,November,6.7,6.4,,
National,U.S.,12/01/2020,2020,December,6.7,6.5,,
National,U.S.,01/01/2021,2021,January,6.4,6.8,,
National,U.S.,02/01/2021,2021,February,6.2,6.6,,
National,U.S.,03/01/2021,2021,March,6.1,6.2,,
National,U.S.,04/01/2021,2021,April,6.1,5.7,,
National,U.S.,05/01/2021,2021,May,5.8,5.5,,
National,U.S.,06/01/2021,2021,June,5.9,6.1,,
National,U.S.,07/01/2021,2021,July,5.4,5.7,,
National,U.S.,08/01/2021,2021,August,5.1,5.3,,
National,U.S.,09/01/2021,2021,September,4.7,4.6,,
National,U.S.,10/01/2021,2021,October,4.5,4.3,,
National,U.S.,11/01/2021,2021,November,4.1,3.9,,
National,U.S.,12/01/2021,2021,December,3.9,3.7,,
National,U.S.,01/01/2022,2022,January,4.0,4.4,,
National,U.S.,02/01/2022,2022,February,3.9,4.1,,
National,U.S.,03/01/2022,2022,March,3.7,3.8,,
National,U.S.,04/01/2022,2022,April,3.7,3.3,,
National,U.S.,05/01/2022,2022,May,3.6,3.4,,
National,U.S.,06/01/2022,2022,June,3.6,3.8,,
National,U.S.,07/01/2022,2022,July,3.5,3.8,,
National,U.S.,08/01/2022,2022,August,3.6,3.8,,
National,U.S.,09/01/2022,2022,September,3.5,3.3,,
National,U.S.,10/01/2022,2022,October,3.6,3.4,,
National,U.S.,11/01/2022,2022,November,3.6,3.4,,
National,U.S.,12/01/2022,2022,December,3.5,3.3,,
National,U.S.,01/01/2023,2023,January,3.5,3.9,,
National,U.S.,02/01/2023,2023,February,3.6,3.9,,
National,U.S.,03/01/2023,2023,March,3.5,3.6,,
National,U.S.,04/01/2023,2023,April,3.4,3.1,,
National,U.S.,05/01/2023,2023,May,3.6,3.4,,
National,U.S.,06/01/2023,2023,June,3.6,3.8,,
National,U.S.,07/01/2023,2023,July,3.5,3.8,,
National,U.S.,08/01/2023,2023,August,3.7,3.9,,
National,U.S.,09/01/2023,2023,September,3.7,3.6,,
National,U.S.,10/01/2023,2023,October,3.9,3.6,,
National,U.S.,11/01/2023,2023,November,3.7,3.5,,
National,U.S.,12/01/2023,2023,December,3.8,3.5,,
National,U.S.,01/01/2024,2024,January,3.7,4.1,,
National,U.S.,02/01/2024,2024,February,3.9,4.2,,
National,U.S.,03/01/2024,2024,March,3.9,3.9,,
National,U.S.,04/01/2024,2024,April,3.9,3.5,,
National,U.S.,05/01/2024,2024,May,3.9,3.7,,
National,U.S.,06/01/2024,2024,June,4.1,4.3,,
National,U.S.,07/01/2024,2024,July,4.2,4.5,,
National,U.S.,08/01/2024,2024,August,4.2,4.4,,
National,U.S.,09/01/2024,2024,September,4.1,3.9,,
National,U.S.,10/01/2024,2024,October,4.1,3.9,,
National,U.S.,11/01/2024,2024,November,4.2,4.0,,
National,U.S.,12/01/2024,2024,December,4.1,3.8,,
National,U.S.,01/01/2025,2025,January,4.0,4.4,,
National,U.S.,02/01/2025,2025,February,4.2,4.5,,
National,U.S.,03/01/2025,2025,March,4.2,4.2,,
National,U.S.,04/01/2025,2025,April,4.2,3.9,,
National,U.S.,05/01/2025,2025,May,4.3,4.0,,
National,U.S.,06/01/2025,2025,June,4.1,4.4,,
National,U.S.,07/01/2025,2025,July,4.3,4.6,,
National,U.S.,08/01/2025,2025,August,4.3,4.5,,
National,U.S.,09/01/2025,2025,September,4.4,4.3,,
National,U.S.,11/01/2025,2025,November,4.6,4.3,,
National,U.S.,12/01/2025,2025,December,4.4,4.1,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
